	Afganistan 	Afghanistan location map.svg 	Azja 	Kabul 	652 230 	30 419 928[1] 	45,74
2 	 Albania 	Albania location map.svg 	Europa 	Tirana 	28 748 	3 195 000[2] 	111,1
3 	 Algieria 	Algeria location map.svg 	Afryka 	Algier 	2 381 741 	34 178 188 	14,3
4 	 Andora 	Andorra location map.svg 	Europa 	Andora 	468 	84 525 	180,6
5 	 Angola 	Angola location map.svg 	Afryka 	Luanda 	1 246 700 	17 312 000 	14
6 	 Antigua i Barbuda 	
7 	 Arabia Saudyjska 	Saudi Arabia location map.svg 	Azja 	Rijad 	2 149 690 	28 686 633 	13,34
8 	 Argentyna 	Argentina location map.svg 	Ameryka Południowa 	Buenos Aires 	2 766 890 	40 913 584 	15
9 	 Armenia 	Armenia location map.svg 	Azja 	Erywań 	29 800[3] 	3 259 100[4] 	108,4
10 	 Australia 	Australia location map.svg 	Australia i Oceania 	Canberra 	7 686 850 	22 343 203 	2,8
11 	 Austria 	Austria location map.svg 	Europa 	Wiedeń 	83 871 	8 402 549 	100,1
12 	 Azerbejdżan 	Azerbaijan adm location map.svg 	Azja 	Baku 	86 600 	9 493 600[5] 	109
13 	 Bahamy 	Bahamas location map.svg 	Ameryka Północna 	Nassau 	13 940 	307 451 	21
14 	 Bahrajn 	Bahrain location map.svg 	Azja 	Manama 	620 	1 323 535 	1189
15 	 Bangladesz 	Bangladesh location map.svg 	Azja 	Dhaka 	144 000 	162 221 000 	1099
16 	 Barbados 	Barbados location map.svg 	Ameryka Północna 	Bridgetown 	431[6] 	281 968[7] 	654
17 	 Belgia 	Belgium location map.svg 	Europa 	Bruksela 	30 528 	10 584 534 	346
18 	 Belize 	Belize location map.svg 	Ameryka Północna 	Belmopan 	22 966 	266 440 	11,6
19 	 Benin 	Benin location map.svg 	Afryka 	Porto-Novo 	112 620 	8 295 000 	74
20 	 Bhutan 	Bhutan location map.svg 	Azja 	Thimphu 	47 000 	682 321 	14
21 	 Białoruś 	Belarus adm location map.svg 	Europa 	Mińsk 	207 600 	9 474 200[8] 	46
22 	 Boliwia 	Bolivia location map.svg 	Ameryka Południowa 	Sucre (stolica konstytucyjna), La Paz (siedziba rządu) 	1 098 580 	9 248 000 	8,4
23 	 Bośnia i Hercegowina 	Bosnia and Herzegovina location map.svg 	Europa 	Sarajewo 	51 129 	4 590 310 	86
24 	 Botswana 	Botswana location map.svg 	Afryka 	Gaborone 	600 370 	1 842 000 	3
25 	 Brazylia 	Brazil location map.svg 	Ameryka Południowa 	Brasilia 	8 511 965[9] 	201 103 330[10] 	23
26 	 Brunei 	Brunei location map.svg 	Azja 	Bandar Seri Begawan 	5770 	381 371 	66
27 	 Bułgaria 	Bulgaria location map.svg 	Europa 	Sofia 	110 910 	7 531 000[11][12] 	67,9
28 	 Burkina Faso 	Burkina Faso location map.svg 	Afryka 	Wagadugu 	274 200 	15 746 232 	57,4
29 	 Burundi 	Burundi location map.svg 	Afryka 	Bużumbura 	27 830 	8 691 000 	312
30 	 Chile 	Chile location map.svg 	Ameryka Południowa 	Santiago 	756 950 	16 601 707 	22,1
31 	 Chiny 	China edcp location map.svg 	Azja 	Pekin 	9 596 960 	1 347 374 752[13] 	140,4
32 	 Chorwacja 	Croatia location map.svg 	Europa 	Zagrzeb 	56 542 	4 437 460 	79
33 	 Cypr 	Cyprus location map.svg 	Azja 	Nikozja 	9250 	794 600 	132
34 	 Czad 	Chad location map.svg 	Afryka 	Ndżamena 	1 284 000 	10 758 945[14] 	7,5
35 	 Czarnogóra 	Montenegro location map.svg 	Europa 	Podgorica 	13 812 	672 180[15] 	48,7
36 	 Czechy 	Czech Republic location map.svg 	Europa 	Praga 	78 866 	10 532 770[16] 	133
37 	 Dania 	Denmark location map.svg 	Europa 	Kopenhaga 	43 098,31[17] (2 210 579 z Grenlandią i Wyspami Owczymi) 	5 540 241[18] 	128,4
